ItemId,DropId,Weight
300,101,900
300,102,1100
300,103,300
300,104,60
300,105,2
300,107,1100
300,108,1500
300,109,600
300,110,250
300,111,100
300,112,20
300,113,12
300,114,1
300,116,10
300,117,1
301,101,6510
301,102,7040
301,103,1500
301,104,100
301,105,3
301,107,6550
301,108,8152
301,109,2467
301,110,989
301,111,194
301,112,95
301,113,56
301,114,1
301,116,50
301,117,3
302,101,300
302,102,600
302,103,890
302,104,150
302,105,10
302,107,380
302,108,530
302,109,640
302,110,821
302,111,243
302,112,88
302,113,40
302,114,8
302,116,50
302,117,5
303,101,300
303,102,600
303,103,890
303,104,150
303,105,10
303,107,380
303,108,530
303,109,640
303,110,821
303,111,243
303,112,88
303,113,40
303,114,8
303,116,50
303,117,5
304,101,200
304,102,310
304,103,550
304,104,1000
304,105,300
304,107,400
304,108,300
304,109,700
304,110,1000
304,111,2000
304,112,1500
304,113,800
304,114,200
304,116,600
304,117,150
305,101,200
305,102,310
305,103,550
305,104,1000
305,105,300
305,107,400
305,108,300
305,109,700
305,110,1000
305,111,2000
305,112,1500
305,113,800
305,114,200
305,116,600
305,117,150
10,104,8
10,105,2
10,107,9
10,108,12
10,109,15
10,110,12
10,111,10
10,112,8
10,113,3
10,114,1
10,116,10
10,117,5
10,130,5
10,300,60
10,301,40
10,303,30
10,304,20
10,306,12
10,307,3
310,130,50
310,131,15
310,132,3
310,133,30
310,134,1
310,135,1
